Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
16-02-2010 14:02:36;21973403;Fx-Belastung Comp.;;;;1.0;1'271.60;0.00;0.00;-1'271.60;EUR;-1'271.60;0.00;EUR
15-02-2010 16:31:35;21964311;Kauf;FXC;iSh China LrgCap USD Dis;IE00B02KXK85;50.0;111.00;20.40;0.00;-5'570.40;USD;-5'570.40;-5'570.40;USD
15-02-2010 16:21:12;21964387;Kauf;CSGN;CS GROUP N;CH0012138530;100.0;46.17;40.80;0.00;-4'657.80;CHF;-4'657.80;4'753.99;CHF
29-01-2010 15:40:16;21789025;Verkauf;MIKN;MIKRON N;CH0003390066;300.0;6.69;38.35;0.00;1'968.65;CHF;1'968.65;9'411.79;CHF
19-01-2010 11:30:39;21626040;Verkauf;SIA-LTIFClsSIA;LTIF Classic - CHF class;LU0301246772;20.0;356.11;9.00;0.00;7'113.20;CHF;7'113.20;7'443.14;CHF
15-01-2010 14:36:30;21626049;Verkauf;CSH;CENIT ORD;DE0005407100;250.0;5.20;28.40;0.00;1'271.60;EUR;1'271.60;1'271.60;EUR
05-01-2010 14:17:26;21468688;Fx-Gutschrift Comp.;;;;1.0;0.66;0.00;0.00;0.66;EUR;0.66;0.00;EUR
05-01-2010 14:17:26;21468688;Fx-Belastung Comp.;;;;1.0;1.00;0.00;0.00;-1.00;CHF;-1.00;329.94;CHF
05-01-2010 10:44:52;21457194;Forex-Belastung;;;;1.0;4'478.22;0.00;0.00;-4'478.22;USD;-4'478.22;0.00;USD
05-01-2010 10:44:52;21457194;Forex-Gutschrift;;;;1.0;4'572.75;0.00;0.00;4'572.75;CHF;4'572.75;330.94;CHF
04-01-2010 16:52:38;21434501;Kauf;PRWN;PRECIOUS WOODS N;CH0013283368;110.0;38.00;40.00;0.00;-4'220.00;CHF;-4'220.00;-4'241.81;CHF
04-01-2010 15:32:59;21427894;Berichtigung Börsengeb.;WYN;WYNDHAM DESTINATIONS ORD;US98310W1080;1.0;-0.06;0.00;0.00;-0.06;USD;-0.06;4'478.22;USD
04-01-2010 15:32:54;21427894;Verkauf;WYN;WYNDHAM DESTINATIONS ORD;US98310W1080;200.0;20.51;42.05;0.00;4'059.95;USD;4'059.95;4'478.28;USD
01-01-2010 13:26:42;00000000;Zins;;;;1.0;0.66;0.00;0.00;-0.66;EUR;-0.66;-0.66;EUR
01-01-2010 13:26:42;00000000;Zins;;;;1.0;2.03;0.00;0.00;-2.03;USD;-2.03;418.33;USD
01-01-2010 13:26:42;00000000;Zins;;;;1.0;0.40;0.00;0.00;0.40;CHF;0.40;-21.81;CHF
31-12-2009 16:39:15;00000000;Depotgebühren;;;;1.0;22.21;0.00;0.00;-22.21;CHF;-22.21;-22.21;CHF
14-12-2009 09:48:51;00000000;Dividende;WYN;WYNDHAM DESTINATIONS ORD;US98310W1080;1.0;5.60;0.00;0.00;5.60;USD;5.60;420.36;USD
25-11-2009 21:01:10;00000000;Dividende;IH2O;iSh Glob Water USD Dis;IE00B1TXK627;1.0;95.19;0.00;0.00;95.19;USD;95.19;414.76;USD
17-11-2009 14:01:37;21009330;Fx-Gutschrift Comp.;;;;1.0;4'954.50;0.00;0.00;4'954.50;CHF;4'954.50;0.00;CHF
17-11-2009 14:01:37;21009330;Fx-Belastung Comp.;;;;1.0;4'915.42;0.00;0.00;-4'915.42;USD;-4'915.42;319.57;USD
16-11-2009 16:55:16;20989807;Kauf;LONN;LONZA N;CH0013841017;50.0;81.90;18.05;0.00;-4'113.05;CHF;-4'113.05;-4'954.50;CHF
16-11-2009 13:40:27;20989807;Kauf;LONN;LONZA N;CH0013841017;10.0;81.90;22.45;0.00;-841.45;CHF;-841.45;-841.45;CHF
27-10-2009 14:01:31;20765058;Fx-Gutschrift Comp.;;;;1.0;2'261.90;0.00;0.00;2'261.90;EUR;2'261.90;0.00;EUR
27-10-2009 14:01:31;20765058;Fx-Belastung Comp.;;;;1.0;3'383.92;0.00;0.00;-3'383.92;USD;-3'383.92;5'234.99;USD
27-10-2009 14:01:31;20765057;Fx-Gutschrift Comp.;;;;1.0;5'074.04;0.00;0.00;5'074.04;EUR;5'074.04;-2'261.90;EUR
27-10-2009 14:01:31;20765057;Fx-Belastung Comp.;;;;1.0;7'723.40;0.00;0.00;-7'723.40;CHF;-7'723.40;0.00;CHF
26-10-2009 10:35:44;20715682;Kauf;Car-Investissem;Carmignac Investissement A;FR0010148981;1.0;7'665.04;161.50;0.00;-7'826.54;EUR;-7'826.54;-7'335.94;EUR
22-10-2009 11:38:36;20715541;Verkauf;IBZL;iSh MSCI Brazil USD Dis;IE00B0M63516;150.0;57.63;25.59;0.00;8'618.91;USD;8'618.91;8'618.91;USD
22-10-2009 11:37:21;20715512;Verkauf;JPNJPA;UBSETF MSCI JAPAN JPY DIS;LU0136240974;250.0;30.99;24.10;0.00;7'723.40;CHF;7'723.40;7'723.40;CHF
12-10-2009 06:01:00;00000000;Corporate Action;JPNJPA;UBSETF MSCI JAPAN JPY DIS;LU0136240974;250.0;0;0.00;0.00;-;;-;0.00;
12-10-2009 06:00:00;00000000;Corporate Action;FDJPHU;UBSETF MSCI JAPAN JPY DIS;LU0136240974;-250.0;0;0.00;0.00;-;;-;0.00;
01-10-2009 14:11:12;20430801;Fx-Gutschrift Comp.;;;;1.0;20.60;0.00;0.00;20.60;CHF;20.60;0.00;CHF
01-10-2009 14:11:12;20430801;Fx-Belastung Comp.;;;;1.0;13.65;0.00;0.00;-13.65;EUR;-13.65;490.60;EUR
